response(b/k),content,content-type,choices(space_split),choice_type,duration(ms),correct(0~),trial/test/fix/result,feedback,feedback_type,true_content,false_content,feedback_duration(ms)
k,연습 한번 해 볼까요?,text,,,2000,,trial,n,,,,
b,img/cardsorting/cross1green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star3red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross2green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle4yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle1yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star3blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle2yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle3yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle2green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,trial,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star4red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,trial,y,image,img/correct.png,img/wrong.png,2000
k,이제 시작합니다!,text,,,2000,,trial,n,,,,
b,img/cardsorting/star2yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star1red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle1yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star1green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
